Qty,Ref Des,Value,DK,PARTNO,DNP
9,"C1, C7, C9, C19, C20, C29, C33, C42, C52",0.1uF,1292-1639-1-ND,0402X104K100CT,
23,"C2, C3, C4, C5, C6, C8, C10, C11, C12, C14, C15, C16, C17, C18, C21, C22, C23, C24, C25, C27, C35, C44, C49",1uF,587-5514-1-ND,EMK105BJ105MV-F,
1,C13,330uF,718-1028-1-ND,293D337X9010E2TE3,
1,C28,220uF,732-8422-1-ND,865080345012,
2,"C30, C31",6.8pF,399-C0402C689C5GAC7867CT-ND,C0402C689C5GAC7867,
3,"C34, C36, C37",47uF,490-6539-1-ND,GRM32ER61C476KE15L,
1,C38,1uF,1276-6471-1-ND,CL21B105KOFNNNG,
1,C39,3.3nF,1276-1552-1-ND,CL05B332KB5NNNC,
1,C40,180pF,311-1114-1-ND,CC0805JRNPO9BN181,
1,C41,1.5nF,311-1128-1-ND,CC0805KRX7R9BB152,
2,"C43, C51",10uF,1276-1096-1-ND,CL21A106KOQNNNE,
1,C45,470pF,1292-1580-1-ND,0805B471K500CT,
1,C46,220uF,P16200CT-ND,2R5TPE220MAFB,
1,C47,100uF,445-6008-1-ND,C3216X5R0J107M160AB,
1,D1,SS310,SK310A-LTPMSCT-ND,SK310A-LTP,
1,J1,54-00164,839-54-00164CT-ND,54-00164,
1,J2,Conn_01x02,455-B2B-XH-A-ND,B2B-XH-A,
1,J4,Conn_01x04,WM4330-ND,0470531000,
1,J8,USB_C_Receptacle_USB2.0,2073-USB4105-GF-ACT-ND,USB4105-GF-A,
1,L1,150nH,513-1568-1-ND,FP1005R1-R15-R,
2,"Q1, Q2",CSD17311Q5,296-27625-1-ND,CSD17311Q5,
1,Q4,2N7002K,2N7002KWCT-ND,2N7002KW,
5,"R1, R4, R6, R7, R9",10k,311-10KJRCT-ND,RC0402JR-0710KL,
1,R2,5.6k,13-RC0402FR-135K6LCT-ND,RC0402FR-135K6L,
2,"R3, R5",5.1k,RMCF0402JT5K10CT-ND,RMCF0402JT5K10,
1,R8,1M,311-1.00MLRCT-ND,RC0402FR-071ML,
1,R10,3.83k,311-3.83KLRCT-ND,RC0402FR-073K83L,
1,R12,4.12k,RMCF0402FT4K12CT-ND,RMCF0402FT4K12,
1,R13,1.33k,311-1.33KLRCT-ND,RC0402FR-071K33L,
1,R14,4.99k,311-4.99KLRCT-ND,RC0402FR-074K99L,
1,R15,3.32k,311-3.32KLRCT-ND,RC0402FR-073K32L,
1,R16,80.6k,311-80.6KLRCT-ND,RC0402FR-0780K6L,
2,"SW1, SW2",GT-TC029B-H025-L1N,2449-CS1213AGF260CT-ND,CS1213AGF260,
1,U1,25MHz,1908-O250-JO32-B-1V3-1-T1-LFCT-ND,"O 25,0-JO32-B-1V3-1-T1-LF",
1,U2,TXB0104RGYR,296-21930-1-ND,TXB0104RGYR,
1,U5,MCP1824T-1802E,MCP1824T-1802E/OTCT-ND,MCP1824T-1802E/OT,
1,U6,MCP1824T-0802E,MCP1824T-0802E/OTCT-ND,MCP1824T-0802E/OT,
1,U7,EMC2101,EMC2101-R-ACZL-CT-ND,EMC2101-R-ACZL-TR,
1,U8,INA260,296-45218-5-ND,INA260AIPW,
1,U9,TPS40305,296-37445-1-ND,TPS40305DRCR,
1,U10,DS4432U+,DS4432U+-ND,DS4432U+,
1,U11,RT9080-33GJ5,1028-1509-1-ND,RT9080-33GJ5,
1,U12,ESP32-S3-WROOM-1,1965-ESP32-S3-WROOM-1-N16R8CT-ND,ESP32-S3-WROOM-1-N16R8,
1,U14,BM1366_mode1,,,
1,Y1,32.768kHz,728-1074-1-ND,SC32S-7PF20PPM,
1,J9,Conn_01x04,S5596-ND,NPTC041KFXC-RC,
